City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,270.63,82,83,4.81,GS,1732750993
1,papatowai,-46.5619,169.4708,294.1,51,98,7.39,NZ,1732750996
2,bethel,41.3712,-73.414,279.02,70,0,1.54,US,1732750998
3,kristiansund,63.1115,7.732,273.51,74,40,2.57,NO,1732751000
4,kapa'a,22.0752,-159.319,300.33,63,40,8.23,US,1732751002
5,arkhangel'sk,64.5401,40.5433,275.21,100,100,2.0,RU,1732751004
6,iqaluit,63.7506,-68.5145,262.0,79,100,3.6,CA,1732751006
7,coreau,-3.5333,-40.6567,299.94,62,100,2.0,BR,1732751008
8,edd,13.9297,41.6925,300.3,71,1,1.9,ER,1732751010
9,kodiak,57.79,-152.4072,273.88,64,0,4.12,US,1732751013
10,ribeira grande,38.5167,-28.7,291.36,81,29,10.73,PT,1732751015
11,kuta,-8.7233,115.1723,301.12,89,40,1.54,ID,1732751017
12,acarau,-2.8856,-40.12,299.0,76,70,7.87,BR,1732751019
13,hilo,19.7297,-155.09,300.42,79,40,6.69,US,1732751021
14,bredasdorp,-34.5322,20.0403,287.63,66,67,1.57,ZA,1732751024
15,port alfred,-33.5906,26.891,288.81,95,59,1.79,ZA,1732751026
16,lib,8.3122,167.3766,301.58,79,46,8.7,MH,1732751028
17,broome,42.2506,-75.833,276.29,78,100,2.24,US,1732751030
18,badger,64.8,-147.5333,249.08,74,20,0.0,US,1732751032
19,quellon,-43.1167,-73.6167,282.4,97,100,0.65,CL,1732751034
20,port-aux-francais,-49.35,70.2167,279.18,99,100,12.16,TF,1732751036
21,gao,16.6362,1.637,291.98,19,100,5.85,ML,1732751038
22,taroa,8.7058,171.2275,300.91,81,65,9.75,MH,1732751041
23,baotou,40.6522,109.8222,269.77,52,52,5.84,CN,1732751043
24,el bolson,-41.9667,-71.5167,279.97,99,99,1.99,AR,1732751047
25,hamilton,39.1834,-84.5333,280.98,83,100,2.57,US,1732751049
26,bilibino,68.0546,166.4372,260.85,100,100,0.44,RU,1732751051
27,waitangi,-43.9535,-176.5597,286.31,85,52,9.5,NZ,1732751053
28,puerto ayora,-0.7393,-90.3518,295.12,91,40,3.58,EC,1732751056
29,daru,-9.0763,143.2092,302.85,74,84,3.22,PG,1732751058
30,coari,-4.085,-63.1414,300.91,68,80,1.07,BR,1732750783
31,punta arenas,-53.15,-70.9167,283.21,66,0,4.12,CL,1732751062
32,edinburgh of the seven seas,-37.0676,-12.3116,288.46,85,39,9.23,SH,1732751064
33,masterton,-40.9597,175.6575,296.55,38,49,5.78,NZ,1732751067
34,puerto natales,-51.7236,-72.4875,285.15,73,100,1.83,CL,1732750963
35,kerbakhiar,40.1067,46.0383,269.3,90,97,3.79,AZ,1732751071
