City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,avarua,-21.2078,-159.775,27.03,74,75,5.14,CK,1733182209
1,jamestown,42.097,-79.2353,-2.2,96,100,5.66,US,1733181951
2,albany,42.6001,-73.9662,-0.64,56,41,2.3,US,1733182141
3,guerrero negro,27.9769,-114.0611,19.09,62,57,4.64,MX,1733182216
4,grytviken,-54.2811,-36.5092,1.59,99,100,3.35,GS,1733182218
5,minas de marcona,-15.2119,-75.1103,15.46,86,84,6.47,PE,1733182220
6,tiksi,71.6872,128.8694,-23.08,99,25,3.75,RU,1733182222
7,moyale,3.5167,39.0584,19.2,49,5,3.34,KE,1733182225
8,belyy yar,53.6039,91.3903,-3.06,74,0,5.0,RU,1733182227
9,san antonio de pale,-1.4014,5.6325,25.99,84,94,3.59,GQ,1733182229
10,waitangi,-43.9535,-176.5597,14.03,91,96,5.03,NZ,1733182231
11,sitka,57.0531,-135.33,8.94,87,100,6.69,US,1733182233
12,ust-nera,64.5667,143.2,-21.3,98,89,0.8,RU,1733182237
13,sisimiut,66.9395,-53.6735,-6.16,78,100,2.84,GL,1733182242
14,hermanus,-34.4187,19.2345,18.78,85,99,5.65,ZA,1733182244
15,port mathurin,-19.6833,63.4167,24.41,78,1,7.09,MU,1733182246
16,adamstown,-25.066,-130.1015,23.46,80,100,5.95,PN,1733182248
17,klyuchi,52.2667,79.1667,-12.87,97,50,2.73,RU,1733182250
18,atafu village,-8.5421,-172.5159,27.69,79,24,5.69,TK,1733182252
19,dhuusamarreeb,5.535,46.3861,22.24,77,93,5.82,SO,1733182254
20,kodiak,57.79,-152.4072,2.73,100,100,0.0,US,1733182257
21,port alfred,-33.5906,26.891,16.77,92,84,0.45,ZA,1733182259
22,talakan,50.3167,130.3667,-22.02,97,100,1.12,RU,1733182261
23,mendoza,-32.8908,-68.8272,24.74,19,0,2.57,AR,1733182021
24,mboursou lere,9.7639,14.1539,21.29,26,66,2.62,TD,1733182265
25,hilo,19.7297,-155.09,26.73,79,100,4.12,US,1733182267
26,edinburgh of the seven seas,-37.0676,-12.3116,15.35,88,25,11.94,SH,1733182269
27,thompson,55.7435,-97.8558,-24.91,77,40,0.0,CA,1733182271
28,puerto deseado,-47.7503,-65.8938,10.44,62,100,11.8,AR,1733182273
29,selfoss,63.9331,-20.9971,1.69,91,100,5.48,IS,1733182276
30,tolanaro,-25.0319,46.9987,22.25,90,0,3.62,MG,1733182278
31,margaret river,-33.95,115.0667,18.76,70,98,7.37,AU,1733182280
32,menongue,-14.6585,17.691,19.28,67,37,2.07,AO,1733182282
33,iqaluit,63.7506,-68.5145,-26.84,68,75,5.14,CA,1733182002
34,port-aux-francais,-49.35,70.2167,6.48,96,100,6.84,TF,1733182286
35,punta arenas,-53.15,-70.9167,9.06,71,75,12.35,CL,1733182180
36,invercargill,-46.4,168.35,24.45,65,83,4.02,NZ,1733182291
37,tura,25.5198,90.2201,15.0,85,1,1.47,IN,1733182293
38,puerto natales,-51.7236,-72.4875,11.25,54,40,7.2,CL,1733182223
39,argo,37.6333,22.7333,10.92,91,100,1.64,GR,1733182297
40,west island,-12.1568,96.8225,25.99,94,100,0.0,CC,1733182299
41,saudarkrokur,65.7461,-19.6394,-0.52,76,100,7.56,IS,1733182302
42,petukhovo,55.0692,67.9019,-9.32,93,61,4.69,RU,1733182304
43,kapa'a,22.0752,-159.319,28.99,68,75,6.17,US,1733182306
44,midvagur,62.0511,-7.1939,-1.54,69,100,2.06,FO,1733182308
45,coshocton,40.272,-81.8596,-1.76,69,65,2.13,US,1733182310
46,constantia,44.1833,28.65,3.38,73,80,4.86,RO,1733182313
47,vila velha,-20.3297,-40.2925,27.97,78,0,5.36,BR,1733182131
48,queenstown,-31.8976,26.8753,13.73,93,50,1.31,ZA,1733182144
49,zhongxiang,31.1661,112.5831,9.87,51,83,7.37,CN,1733182319
50,axim,4.8699,-2.2405,26.05,83,3,2.87,GH,1733182321
51,intendente alvear,-35.2338,-63.592,16.22,20,0,4.15,AR,1733182323
52,lerwick,60.1545,-1.1494,2.13,63,97,6.61,GB,1733182325
53,hartford city,40.4511,-85.37,-4.97,78,100,1.79,US,1733182327
54,anar darah,32.7587,61.654,2.28,73,0,2.79,AF,1733182330
55,papatowai,-46.5619,169.4708,23.06,54,94,4.57,NZ,1733182332
56,altay,47.8667,88.1167,-10.0,76,95,3.09,CN,1733182334
57,longyearbyen,78.2186,15.6401,-12.09,56,20,5.14,SJ,1733182336
58,uturoa,-16.7333,-151.4333,27.6,75,80,5.66,PF,1733182338
59,la passe,45.5549,-0.8967,10.28,79,56,3.07,FR,1733182340
60,nemuro,43.3236,145.575,9.66,88,100,8.77,JP,1733182342
61,santa ana de yacuma,-13.75,-65.4333,30.97,70,75,3.09,BO,1733182344
62,ilulissat,69.2167,-51.1,-9.99,67,20,2.57,GL,1733182347
63,blackmans bay,-43.0167,147.3167,17.07,95,100,2.63,AU,1733182349
64,sinabang,2.4803,96.3801,24.74,81,100,1.62,ID,1733182351
65,malvan,16.0667,73.4667,25.49,84,100,3.17,IN,1733182353
66,at taj,24.2049,23.2857,11.5,48,4,3.63,LY,1733182355
67,wailua homesteads,22.0669,-159.378,28.25,69,75,6.17,US,1733182357
68,bengkulu,-3.8004,102.2655,23.39,95,100,3.7,ID,1733182359
69,kolonia,50.9333,6.95,8.36,88,75,2.57,DE,1733182362
70,fisterra,42.9049,-9.2629,12.84,78,80,4.92,ES,1733182364
71,grovetown,33.4504,-82.1982,6.43,55,0,0.45,US,1733182194
72,ukiah,39.1502,-123.2078,19.24,56,0,0.0,US,1733182368
73,vepagunta,17.7784,83.2158,22.98,88,99,1.92,IN,1733182370
74,happy valley-goose bay,53.3168,-60.3315,-2.83,74,75,2.06,CA,1733182174
75,newman,37.3138,-121.0208,17.81,56,3,0.89,US,1733182374
76,cabedelo,-6.9811,-34.8339,27.37,80,14,6.31,BR,1733182377
77,abdulino,53.7,53.6667,-1.61,95,98,3.06,RU,1733182379
78,port lincoln,-34.7333,135.8667,18.56,59,27,6.28,AU,1733182381
79,luderitz,-26.6481,15.1594,19.39,68,64,9.62,NA,1733182383
80,callao,-12.0667,-77.15,23.73,83,75,5.14,PE,1733182180
81,konarka,19.9,86.1167,21.27,76,92,3.73,IN,1733182387
82,rongelap,11.1635,166.8941,28.01,76,54,10.14,MH,1733182390
83,nadym,65.5333,72.5167,-11.64,91,71,7.9,RU,1733182392
84,ribeira grande,38.5167,-28.7,18.21,77,96,3.58,PT,1733182394
85,sofifi,0.7349,127.576,27.11,82,99,2.12,ID,1733182398
86,kone,-21.0595,164.8658,32.47,40,0,1.2,NC,1733182400
87,vizinga,61.0749,50.1031,0.9,87,99,5.23,RU,1733182402
88,kristiansund,63.1115,7.732,0.07,86,100,4.12,NO,1733182404
89,hwange,-18.3693,26.5019,22.57,37,0,0.9,ZW,1733182407
90,polyarnyy,69.1989,33.4478,-1.41,89,100,5.8,RU,1733182409
91,ola,59.5833,151.2833,-7.72,81,79,4.3,RU,1733182411
92,sinjai,-5.1241,120.253,24.8,90,100,1.38,ID,1733182413
93,yellowknife,62.456,-114.3525,-18.71,84,100,6.17,CA,1733182148
94,pierre,44.3683,-100.351,-8.49,73,100,3.6,US,1733182417
